kind,graph_id,lbs_code,MaLo,MeLo,NeLo,TR,attachment_rules_n,edge_MEMA,edge_MEME,edge_MENE,edge_METR,edges_missing_refs,edges_missing_rel,edges_missing_srcdst,expects_MEMA,expects_MENE,expects_METR,has_MEME,missing_MEMA,missing_MENE,missing_METR,multi_MeLo,rel_types_present
soll,catalog-9992000000117,9992000000117,2,2,1,4,7,0,0,0,0,0,0,0,True,True,True,False,True,True,True,True,
soll,catalog-9992000000125,9992000000125,3,3,1,4,1,4,0,0,4,0,0,0,True,True,True,False,False,True,False,True,"MEMA,METR"
soll,catalog-9992000000018,9992000000018,1,0,1,1,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,
soll,catalog-9992000000026,9992000000026,1,1,1,1,0,1,0,1,1,0,0,0,True,True,True,False,False,False,False,False,"MEMA,MENE,METR"
soll,catalog-9992000000034,9992000000034,2,1,1,2,0,2,0,1,2,0,0,0,True,True,True,False,False,False,False,False,"MEMA,MENE,METR"
soll,catalog-9992000000042,9992000000042,2,1,1,3,0,2,0,1,3,0,0,0,True,True,True,False,False,False,False,False,"MEMA,MENE,METR"
soll,catalog-9992000000068,9992000000068,2,2,1,2,0,2,0,1,2,0,0,0,True,True,True,False,False,False,False,True,"MEMA,MENE,METR"
soll,catalog-9992000000076,9992000000076,3,2,1,4,0,3,0,1,4,0,0,0,True,True,True,False,False,False,False,True,"MEMA,MENE,METR"
soll,catalog-9992000000084,9992000000084,4,3,1,4,6,1,0,1,1,0,0,0,True,True,True,False,False,False,False,True,"MEMA,MENE,METR"
soll,catalog-9992000000109,9992000000109,1,1,1,1,0,1,0,1,1,0,0,0,True,True,True,False,False,False,False,False,"MEMA,MENE,METR"
soll,catalog-9992000000133,9992000000133,3,2,1,3,0,3,0,1,3,0,0,0,True,True,True,False,False,False,False,True,"MEMA,MENE,METR"
soll,catalog-9992000000159,9992000000159,3,2,1,4,0,3,0,1,4,0,0,0,True,True,True,False,False,False,False,True,"MEMA,MENE,METR"
soll,catalog-9992000000167,9992000000167,4,3,1,5,5,2,0,1,2,0,0,0,True,True,True,False,False,False,False,True,"MEMA,MENE,METR"
soll,catalog-9992000000175,9992000000175,3,2,1,4,0,3,0,1,4,0,0,0,True,True,True,False,False,False,False,True,"MEMA,MENE,METR"
soll,catalog-9992000000183,9992000000183,4,3,1,4,0,4,0,1,4,0,0,0,True,True,True,False,False,False,False,True,"MEMA,MENE,METR"
